rect94s4:[1082, 192] [1082, 351]
rect95s1:[1080, 195] [1151, 195]
rect95s2:[784, 192] [784, 351]
rect95s3:[784, 242] [855, 244]
rect95s4:[1144, 192] [1144, 351]
rect96s1:[936, 243] [1007, 244]
rect96s2:[1144, 192] [1144, 351]
rect96s3:[1080, 195] [1151, 195]
rect96s4:[847, 192] [847, 351]
rect97s1:[936, 199] [1007, 201]
rect97s2:[1304, 184] [1304, 343]
rect97s3:[1088, 242] [1151, 241]
rect97s4:[1000, 200] [1000, 351]
rect98s1:[184, 193] [184, 343]
rect98s2:[0, 212] [31, 211]
rect98s3:[72, 193] [72, 343]
rect98s4:[73, 237] [116, 238]
rect99s1:[336, 192] [336, 343]
rect99s2:[0, 212] [31, 211]
rect99s3:[72, 193] [72, 343]
rect99s4:[73, 237] [116, 238]
rect100s1:[336, 192] [336, 343]
rect100s2:[0, 212] [31, 211]
rect100s3:[112, 193] [112, 343]
rect100s4:[145, 243] [188, 235]
rect101s1:[112, 193] [112, 343]
rect101s2:[0, 212] [31, 211]
rect101s3:[400, 192] [400, 343]
rect101s4:[145, 243] [188, 235]
rect102s1:[344, 199] [406, 198]
rect102s2:[184, 193] [184, 343]
rect102s3:[336, 243] [407, 244]
rect102s4:[488, 201] [488, 351]
rect103s1:[344, 199] [406, 198]
rect103s2:[336, 192] [336, 343]
rect103s3:[336, 243] [407, 244]
rect103s4:[488, 201] [488, 351]
rect104s1:[344, 199] [406, 198]
rect104s2:[184, 193] [184, 343]
rect104s3:[488, 244] [559, 244]
rect104s4:[488, 201] [488, 351]
rect105s1:[489, 202] [559, 199]
rect105s2:[336, 192] [336, 343]
rect105s3:[336, 243] [407, 244]
rect105s4:[488, 201] [488, 351]
rect106s1:[344, 199] [406, 198]
rect106s2:[336, 192] [336, 343]
rect106s3:[336, 243] [407, 244]
rect106s4:[641, 200] [641, 351]
rect107s1:[344, 199] [406, 198]
rect107s2:[336, 192] [336, 343]
rect107s3:[488, 244] [559, 244]
rect107s4:[641, 200] [641, 351]
rect108s1:[489, 202] [559, 199]
rect108s2:[400, 192] [400, 343]
rect108s3:[336, 243] [407, 244]
rect108s4:[641, 200] [641, 351]
rect109s1:[640, 244] [702, 243]
rect109s2:[336, 192] [336, 343]
rect109s3:[344, 199] [406, 198]
rect109s4:[641, 200] [641, 351]
rect110s1:[336, 243] [407, 244]
rect110s2:[336, 192] [336, 343]
rect110s3:[640, 203] [702, 204]
rect110s4:[695, 192] [695, 351]
rect111s1:[640, 203] [702, 204]
rect111s2:[336, 192] [336, 343]
rect111s3:[488, 244] [559, 244]
rect111s4:[544, 192] [544, 351]
rect112s1:[489, 202] [559, 199]
rect112s2:[400, 192] [400, 343]
rect112s3:[488, 244] [559, 244]
rect112s4:[641, 200] [641, 351]
rect113s1:[336, 243] [407, 244]
rect113s2:[695, 192] [695, 351]
rect113s3:[640, 203] [702, 204]
rect113s4:[400, 192] [400, 343]
rect114s1:[640, 203] [702, 204]
rect114s2:[400, 192] [400, 343]
rect114s3:[488, 244] [559, 244]
rect114s4:[544, 192] [544, 351]
rect115s1:[640, 244] [702, 243]
rect115s2:[336, 192] [336, 343]
rect115s3:[489, 202] [559, 199]
rect115s4:[641, 200] [641, 351]
rect116s1:[640, 244] [702, 243]
rect116s2:[400, 192] [400, 343]
rect116s3:[489, 202] [559, 199]
rect116s4:[641, 200] [641, 351]
rect117s1:[640, 203] [702, 204]
rect117s2:[695, 192] [695, 351]
rect117s3:[488, 244] [559, 244]
rect117s4:[400, 192] [400, 343]
rect118s1:[784, 201] [855, 202]
rect118s2:[695, 192] [695, 351]
rect118s3:[488, 244] [559, 244]
rect118s4:[400, 192] [400, 343]
rect119s1:[489, 202] [559, 199]
rect119s2:[544, 192] [544, 351]
rect119s3:[784, 242] [855, 244]
rect119s4:[847, 192] [847, 351]
rect120s1:[489, 202] [559, 199]
rect120s2:[695, 192] [695, 351]
rect120s3:[784, 242] [855, 244]
rect120s4:[847, 192] [847, 351]
rect121s1:[784, 201] [855, 202]
rect121s2:[784, 192] [784, 351]
rect121s3:[784, 242] [855, 244]
rect121s4:[544, 192] [544, 351]
rect122s1:[640, 244] [702, 243]
rect122s2:[934, 193] [934, 349]
rect122s3:[784, 201] [855, 202]
rect122s4:[544, 192] [544, 351]
rect123s1:[784, 201] [855, 202]
rect123s2:[544, 192] [544, 351]
rect123s3:[784, 242] [855, 244]
rect123s4:[847, 192] [847, 351]
rect124s1:[640, 244] [702, 243]
rect124s2:[934, 193] [934, 349]
rect124s3:[784, 201] [855, 202]
rect124s4:[695, 192] [695, 351]
rect125s1:[784, 201] [855, 202]
rect125s2:[695, 192] [695, 351]
rect125s3:[784, 242] [855, 244]
rect125s4:[847, 192] [847, 351]
rect126s1:[936, 199] [1007, 201]
rect126s2:[695, 192] [695, 351]
rect126s3:[784, 242] [855, 244]
rect126s4:[847, 192] [847, 351]
rect127s1:[784, 201] [855, 202]
rect127s2:[784, 192] [784, 351]
rect127s3:[784, 242] [855, 244]
rect127s4:[934, 193] [934, 349]
rect128s1:[936, 243] [1007, 244]
rect128s2:[934, 193] [934, 349]
rect128s3:[784, 201] [855, 202]
rect128s4:[695, 192] [695, 351]
rect129s1:[784, 201] [855, 202]
rect129s2:[784, 192] [784, 351]
rect129s3:[784, 242] [855, 244]
rect129s4:[1082, 192] [1082, 351]
rect130s1:[936, 199] [1007, 201]
rect130s2:[784, 192] [784, 351]
rect130s3:[784, 242] [855, 244]
rect130s4:[934, 193] [934, 349]
rect131s1:[1080, 195] [1151, 195]
rect131s2:[1000, 200] [1000, 351]
rect131s3:[784, 242] [855, 244]
rect131s4:[695, 192] [695, 351]
rect132s1:[1080, 195] [1151, 195]
rect132s2:[784, 192] [784, 351]
rect132s3:[784, 242] [855, 244]
rect132s4:[1000, 200] [1000, 351]
rect133s1:[936, 199] [1007, 201]
rect133s2:[1082, 192] [1082, 351]
rect133s3:[784, 242] [855, 244]
rect133s4:[847, 192] [847, 351]
rect134s1:[936, 199] [1007, 201]
rect134s2:[1144, 192] [1144, 351]
rect134s3:[784, 242] [855, 244]
rect134s4:[847, 192] [847, 351]
rect135s1:[936, 199] [1007, 201]
rect135s2:[934, 193] [934, 349]
rect135s3:[784, 242] [855, 244]
rect135s4:[1082, 192] [1082, 351]
rect136s1:[1088, 242] [1151, 241]
rect136s2:[784, 192] [784, 351]
rect136s3:[784, 201] [855, 202]
rect136s4:[1082, 192] [1082, 351]
rect137s1:[936, 243] [1007, 244]
rect137s2:[784, 192] [784, 351]
rect137s3:[936, 199] [1007, 201]
rect137s4:[1082, 192] [1082, 351]
rect138s1:[1088, 242] [1151, 241]
rect138s2:[784, 192] [784, 351]
rect138s3:[784, 201] [855, 202]
rect138s4:[1144, 192] [1144, 351]
rect139s1:[936, 243] [1007, 244]
rect139s2:[784, 192] [784, 351]
rect139s3:[936, 199] [1007, 201]
rect139s4:[1144, 192] [1144, 351]
rect140s1:[936, 243] [1007, 244]
rect140s2:[784, 192] [784, 351]
rect140s3:[1080, 195] [1151, 195]
rect140s4:[1000, 200] [1000, 351]
rect141s1:[936, 243] [1007, 244]
rect141s2:[1144, 192] [1144, 351]
rect141s3:[784, 201] [855, 202]
rect141s4:[934, 193] [934, 349]
rect142s1:[936, 199] [1007, 201]
rect142s2:[1144, 192] [1144, 351]
rect142s3:[784, 242] [855, 244]
rect142s4:[934, 193] [934, 349]
rect143s1:[936, 199] [1007, 201]
rect143s2:[784, 192] [784, 351]
rect143s3:[1088, 242] [1151, 241]
rect143s4:[1082, 192] [1082, 351]
rect144s1:[936, 199] [1007, 201]
rect144s2:[784, 192] [784, 351]
rect144s3:[1088, 242] [1151, 241]
rect144s4:[1144, 192] [1144, 351]
rect145s1:[936, 199] [1007, 201]
rect145s2:[1144, 192] [1144, 351]
rect145s3:[1088, 242] [1151, 241]
rect145s4:[847, 192] [847, 351]
rect146s1:[936, 199] [1007, 201]
rect146s2:[1144, 192] [1144, 351]
rect146s3:[1088, 242] [1151, 241]
rect146s4:[934, 193] [934, 349]
rect147s1:[489, 202] [559, 199]
rect147s2:[184, 193] [184, 343]
rect147s3:[336, 243] [407, 244]
rect147s4:[488, 201] [488, 351]
